,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action
0,6.5187006,6.296867,7.6217346,6.599009,7.1025314,3.3307257,3.3378925,3.6068316,3.3755906,3.7698486,4.6234202,4.4996176,4.9704685,4.2726607,4.7747536,14.4728465,14.134377099999998,16.1990347,14.2472603,15.6471336,16.1990347,3
1,7.3838243,7.3946333,8.106339,7.5080323,7.793716,3.4791555,3.6170976,3.6972017,3.614027,3.8592396,4.7930226,4.7112226,4.982864,4.4642687,4.7964544,15.656002399999998,15.7229535,16.7864047,15.586328,16.44941,16.7864047,3
2,7.7844987,7.9540324,8.085914,7.901443,7.959338,3.5404816,3.7760477,3.679938,3.6951945,3.8219604,4.8764005,4.8240385,4.917974,4.488657,4.702071,16.2013808,16.554118600000002,16.683826,16.0852945,16.4833694,16.683826,3
3,8.016728,8.212469,8.029567,8.14268,7.8474636,3.522536,3.7612202,3.6166954,3.6644528,3.6435094,4.8724537,4.7717443,4.87569,4.470378,4.5465145,16.4117177,16.7454335,16.5219524,16.2775108,16.0374875,16.7454335,2
4,7.9399047,8.163196,7.9008913,8.07162,7.6435494,3.4969287,3.718232,3.5779204,3.6259472,3.5500505,4.8476753,4.731346,4.864038,4.451817,4.464239,16.2845087,16.612774,16.3428497,16.1493842,15.657838900000002,16.612774,2
5,7.9335465,8.159078,7.8966074,8.066064,7.6165123,3.484405,3.6804817,3.552746,3.5996172,3.5118678,4.835411,4.6932693,4.8513637,4.451057,4.4316907,16.2533625,16.532829,16.3007171,16.1167382,15.560070800000002,16.532829,2
6,7.969416,8.171957,7.8957253,8.0557375,7.6261854,3.490217,3.6509736,3.528475,3.5673485,3.4838526,4.853662,4.661748,4.8423953,4.447425,4.415731,16.313295,16.484678600000002,16.2665956,16.070511,15.525769,16.484678600000002,2
7,7.986608,8.179928,7.9201126,8.044096,7.689927,3.4970222,3.642064,3.5334208,3.5596285,3.5016868,4.866993,4.652911,4.856716,4.4474277,4.437844,16.3506232,16.474902999999998,16.3102494,16.0511522,15.629457799999999,16.474902999999998,2
8,7.9818206,8.17557,7.9494085,8.025233,7.749898,3.4886942,3.6259692,3.5383031,3.541414,3.5221317,4.863769,4.6373453,4.8679304,4.426793,4.453342,16.3342838,16.4388845,16.355642,15.99344,15.7253717,16.4388845,2
9,7.910211,8.101847,7.925382,7.9411254,7.735717,3.4622958,3.5933235,3.527271,3.5029268,3.5188835,4.8335257,4.607267,4.858034,4.3779817,4.438647,16.2060325,16.3024375,16.310687,15.822033900000001,15.6932475,16.310687,3
10,7.842747,8.06294,8.011643,7.9480147,7.6955447,3.417684,3.5499454,3.5039089,3.4684424,3.472231,4.776889,4.5663705,4.8362446,4.344481,4.364953,16.03732,16.1792559,16.3517965,15.760938099999999,15.5327287,16.3517965,3
11,7.768501,8.000256,8.142548,7.937536,7.6233096,3.3629873,3.4839764,3.4749763,3.4152384,3.4011753,4.712182,4.5121393,4.820421,4.303797,4.271198,15.8436703,15.996371700000001,16.4379453,15.6565714,15.2956829,16.4379453,3
12,7.726596,7.9790273,8.305674,7.9662595,7.5946374,3.316701,3.4312124,3.4526744,3.3770938,3.3460946,4.6564856,4.478762,4.812961,4.280822,4.196622,15.699782599999999,15.8890017,16.571309399999997,15.624175300000001,15.137354,16.571309399999997,3
13,7.6803694,7.9519,8.452375,7.985702,7.5583982,3.2696838,3.3795764,3.4295275,3.3376348,3.291486,4.599104,4.444609,4.8024416,4.2527843,4.1218486,15.5491572,15.7760854,16.684344099999997,15.5761211,14.9717328,16.684344099999997,3
14,7.5903788,7.8494406,8.552642,7.9244704,7.463914,3.218146,3.3126454,3.4009984,3.2773035,3.2286932,4.5393257,4.393832,4.7887893,4.1969786,4.0367665,15.3478505,15.555918,16.742429700000002,15.398752499999999,14.7293737,16.742429700000002,3
15,7.2850266,7.540487,8.38636,7.6204233,7.2213125,3.1376386,3.2115655,3.350462,3.181119,3.173419,4.43052,4.282607,4.7385306,4.0864053,3.9478142,14.8531852,15.0346595,16.4753526,14.8879476,14.342545699999999,16.4753526,3
16,7.750609,7.9502215,8.679245,8.055342,7.4592586,3.1592884,3.1965985,3.313944,3.2026677,3.073518,4.4618955,4.2412224,4.685645,4.127425,3.8554947,15.371792899999999,15.3880424,16.678834,15.385434699999998,14.3882713,16.678834,3
17,8.178575,8.305443,8.916428,8.421032,7.7479744,3.1808116,3.1905499,3.28153,3.2099695,3.0353658,4.505593,4.220428,4.64132,4.1475472,3.8349402,15.864979600000002,15.716420900000001,16.839278,15.7785487,14.618280400000002,16.839278,3
18,8.297204,8.474218,8.9272,8.5753765,7.9191666,3.0749595,3.0984442,3.1609886,3.142877,2.9514825,4.35238,4.075252,4.446813,4.0438037,3.72896,15.724543500000001,15.647914199999999,16.535001599999998,15.762057200000001,14.599609099999999,16.535001599999998,3
19,8.096648,8.371134,8.659407,8.435801,7.78809,2.959063,3.013034,3.0436604,3.066537,2.866562,4.188458,3.9333024,4.259331,3.9308877,3.608849,15.244169,15.3174704,15.962398400000001,15.4332257,14.263501000000002,15.962398400000001,3
20,7.8930135,8.236741,8.416933,8.287029,7.6455216,2.856109,2.9309874,2.9469697,2.9944448,2.7919805,4.0431833,3.8008847,4.109842,3.8238559,3.4957747,14.792305800000001,14.968613099999999,15.473744700000001,15.1053297,13.9332768,15.473744700000001,3
21,7.730936,8.111508,8.226667,8.154726,7.5238843,2.7732098,2.8576021,2.8718083,2.9248462,2.726195,3.9263146,3.683462,3.9967792,3.7233725,3.395511,14.4304604,14.6525721,15.095254500000001,14.802944700000001,13.645590299999999,15.095254500000001,3
22,7.57755,7.9779058,8.056457,8.012403,7.4122972,2.6979537,2.7879126,2.8077095,2.8499825,2.6652443,3.8168097,3.5741103,3.9004798,3.6176553,3.3031774,14.0923134,14.339928700000002,14.764646299999999,14.480040800000001,13.380718900000002,14.764646299999999,3
23,7.399184,7.7592926,7.8407497,7.8104134,7.248835,2.621881,2.6925395,2.7324321,2.7589066,2.5913746,3.7045357,3.433892,3.791493,3.4910436,3.189926,13.725600700000001,13.885724100000001,14.3646748,14.060363599999999,13.0301356,14.3646748,3
24,7.2079134,7.5401826,7.6190166,7.60863,7.0677466,2.5484853,2.606417,2.658171,2.6754296,2.5169117,3.590837,3.3001046,3.6823583,3.3695593,3.072869,13.3472357,13.4467042,13.9595459,13.6536189,12.657527300000002,13.9595459,3
25,7.0057592,7.3252306,7.399339,7.410584,6.881337,2.4763904,2.5293832,2.5874085,2.5992184,2.4455245,3.4753957,3.1740322,3.57622,3.2540665,2.9573064,12.9575453,13.028645999999998,13.5629675,13.2638689,12.2841679,13.5629675,3
26,6.7907295,7.177154,7.2251034,7.2560997,6.756547,2.3999662,2.4854553,2.5340974,2.5487242,2.4060035,3.3448877,3.0802991,3.4847543,3.1640973,2.8698776,12.5355834,12.7429084,13.2439551,12.9689212,12.0324281,13.2439551,3
27,6.5294147,7.007954,7.0259223,7.0788574,6.5971694,2.3095644,2.4380379,2.4732137,2.4957626,2.3582175,3.1903114,2.9773853,3.378621,3.0655699,2.7656538,12.0292905,12.4233772,12.877756999999999,12.6401899,11.7210407,12.877756999999999,3
28,6.145336,6.7480645,6.742619,6.7992783,6.3730636,2.179277,2.3604128,2.3875496,2.407789,2.2967567,2.9725726,2.8284652,3.2313514,2.9080892,2.6272523,11.297185599999999,11.9369425,12.36152,12.115156500000001,11.2970726,12.36152,3
29,5.7363915,6.467549,6.4129214,6.501481,6.065183,2.0155513,2.2608418,2.2735438,2.288911,2.1825354,2.7179694,2.6476448,3.0573525,2.7186165,2.4315848,10.4699122,11.3760356,11.743817700000001,11.5090085,10.6793032,11.743817700000001,3
30,5.413943,6.2248883,6.1404834,6.2312884,5.8210006,1.9006686,2.1868086,2.1881967,2.192964,2.1051936,2.531227,2.5085435,2.9244678,2.5655832,2.2846847,9.845838599999999,10.920240399999999,11.2531479,10.9898356,10.210878899999999,11.2531479,3
31,5.0707054,5.866258,5.8009143,5.843563,5.519684,1.7907716,2.0647206,2.0844152,2.0519557,2.0093112,2.3525038,2.31994,2.7694645,2.3651872,2.116898,9.2139808,10.250918599999999,10.654793999999999,10.2607059,9.6458932,10.654793999999999,3
32,4.660822,5.392196,5.4725976,5.390458,5.1529884,1.6620997,1.893959,1.9834319,1.8876038,1.8918389,2.1486778,2.090295,2.6276765,2.145866,1.9356043,8.4715995,9.37645,10.083706000000001,9.4239278,8.9804316,10.083706000000001,3
33,4.145449,4.768078,5.062482,4.8330555,4.7174807,1.4698116,1.6486385,1.8371654,1.671088,1.7234918,1.8708105,1.7675833,2.4285333,1.8659657,1.6904067,7.4860711,8.1842998,9.3281807,8.3701092,8.1313792,9.3281807,3
34,4.001304,4.7584724,4.9522204,4.7034564,4.5355206,1.3869555,1.637683,1.7801635,1.6129985,1.6481842,1.7985094,1.7516499,2.377933,1.8181834,1.6206449,7.186768900000001,8.1478053,9.1103169,8.1346383,7.8043497,9.1103169,3
35,3.462549,4.110489,4.350154,4.0285993,4.026613,1.1743984,1.389513,1.5443795,1.330795,1.445269,1.522686,1.4312832,2.0691192,1.4778342,1.3481225,6.159633400000001,6.9312852000000005,7.963652699999999,6.8372285,6.8200045,7.963652699999999,3
36,2.935382,3.509385,3.8726196,3.456439,3.6067495,0.95275426,1.1467869,1.34112,1.0824853,1.2555867,1.2443796,1.1280605,1.8168087,1.1819582,1.1128185,5.13251586,5.7842324000000005,7.0305483,5.7208825,5.975154699999999,7.0305483,3
37,2.35642,2.868005,3.3396835,2.918332,3.1037712,0.69208723,0.8876853,1.1155584,0.84554136,1.0246958,0.92190033,0.8018774,1.5228617,0.89809453,0.8405092,3.9704075600000004,4.5575677,5.9781036,4.66196789,4.9689762,5.9781036,3
38,1.6883351,2.2147028,2.658558,2.3172367,2.490762,0.39376488,0.630413,0.8300222,0.57439303,0.75534797,0.5580931,0.46180296,1.143499,0.587034,0.5233135,2.6401930799999995,3.30691876,4.632079200000001,3.47866373,3.76942347,4.632079200000001,3
39,1.0380242,1.5505699,1.9784813,1.7424617,1.8213388,0.0840006,0.36024576,0.53615427,0.3020806,0.43193176,0.18353406,0.11171375,0.7520447,0.2668153,0.14776357,1.3055588599999999,2.0225294099999997,3.26668027,2.3113576,2.4010341299999998,3.26668027,3
40,0.5431738,0.94705075,1.4437106,1.2461758,1.3995537,-0.16609593,0.09251839,0.3051529,0.06314121,0.19677427,-0.13030362,-0.23435268,0.4150378,-0.037231997,-0.13936403,0.24677425000000003,0.80521646,2.1639013,1.272085013,1.4569639399999998,2.1639013,3
